,LENSID,FLAGTYPE,NIMG,ZLENS,VELDISP,ELLIP,PHIE,GAMMA,PHIG,ZSRC,XSRC,YSRC,MAGI_IN,MAGI,IMSEP,XIMG,YIMG,MAG,DELAY,KAPPA,FSTAR,DD,DDLUM,ABMAG_I,APMAG_I,KCORR,DS,DDS,SIGCRIT,DSLUM,L_I,REFF,REFF_T,weight,ABMAGI_IN
66,29767290,0,4,0.996,223.3572,0.5530586,-100.9869,0.04806673,-75.1776,2.13,-0.02338825,0.04193266,21.37,21.09092,1.316073,"[-0.137, 0.4326, -0.4981, 0.0121]","[-0.6034, -0.104, 0.0243, 0.7042]","[2.6544, -0.9684, -1.2931, 2.2058]","[12.078, 31.835, 25.385, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1650.26575,6574.68506,-23.1249599,21.9604149,0.995999992,1713.06,660.684,0.0,16782.7,0.0,0.0,0.0,1,-25.75030914894867
67,6540245,0,2,0.536,231.7395,0.3237424,-75.81806,0.05116272,-175.6099,2.14,-0.1882892,0.2444542,24.27,23.08249,1.979975,"[0.5667, -0.7347, 0.0, 0.0]","[-0.4161, 1.0761, 0.0, 0.0]","[-3.2963, 2.9854, 0.0, 0.0]","[54.57, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1305.41956,3079.87134,-22.8766003,20.1020622,0.536000013,1711.93,1073.36,0.0,16878.9,0.0,0.0,0.0,1,-22.402720713933835
68,27649874,0,2,0.964,304.0885,0.7247203,-55.00804,0.0469614,-126.3434,2.03,0.2596471,-0.5268881,20.69,20.1977,2.349248,"[0.8608, 0.2384, 0.0, 0.0]","[-1.6332, 0.6321, 0.0, 0.0]","[1.5737, -1.9621, 0.0, 0.0]","[0.0, 351.061, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1637.08691,6314.729,-23.9103203,21.0554543,0.963999987,1723.68,662.541,0.0,15824.9,0.0,0.0,0.0,1,-26.27070485861903
69,393355,0,2,0.194,169.0441,0.2470969,-171.3275,0.04204292,96.71945,2.96,-0.3519335,-0.3010316,21.95,22.44409,1.45146,"[-0.9189, 0.1839, 0.0, 0.0]","[-0.745, 0.1987, 0.0, 0.0]","[2.3703, -0.6344, 0.0, 0.0]","[0.0, 16.695, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",664.471741,947.294861,-21.7926197,18.2838058,0.194000006,1595.1,1394.75,0.0,25013.7,0.0,0.0,0.0,1,-25.234889690308748
70,86110665,0,2,1.664,322.1069,0.1089461,28.72215,0.07878364,66.80511,3.75,-0.236922,-0.04379991,22.17,21.24515,1.95328,"[-1.1021, 0.7497, 0.0, 0.0]","[-0.7046, -0.0832, 0.0, 0.0]","[3.6659, -2.3439, 0.0, 0.0]","[0.0, 202.378, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1746.92981,12397.7803,-24.5863209,22.5443974,1.66400003,1471.62,491.869,0.0,33203.4,0.0,0.0,0.0,1,-27.09991281683863
71,3213549,0,2,0.41,253.5129,0.2804664,-135.9166,0.09627095,17.47412,1.28,0.7079234,0.2214682,20.39,20.54195,2.534193,"[-0.4415, 1.9543, 0.0, 0.0]","[-0.0577, 0.7683, 0.0, 0.0]","[-0.8694, 1.772, 0.0, 0.0]","[137.869, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1124.88696,2236.3877,-23.0176601,19.1400757,0.409999996,1725.05,1029.39,0.0,8967.5,0.0,0.0,0.0,1,-24.783356922740023
72,32663340,0,2,1.038,228.0342,0.3672131,-111.7521,0.05743803,148.0521,2.41,0.3683391,0.08768761,21.99,22.80285,1.192001,"[0.9237, -0.2202, 0.0, 0.0]","[0.3224, -0.0128, 0.0, 0.0]","[2.7706, -0.473, 0.0, 0.0]","[0.0, 105.322, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1665.89355,6919.19629,-23.2108192,22.0274601,1.03799999,1677.6,681.974,0.0,19507.3,0.0,0.0,0.0,1,-25.498985804874522
73,7180256,0,2,0.556,194.0886,0.4050379,-125.6792,0.046235,-79.66021,1.2,0.03686218,-0.392913,21.21,22.64535,1.03804,"[-0.0402, -0.0311, 0.0, 0.0]","[-0.9408, 0.0972, 0.0, 0.0]","[1.7892, -0.2666, 0.0, 0.0]","[0.0, 52.572, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1329.56787,3219.0647,-22.4265213,20.6681271,0.555999994,1710.57,770.201,0.0,8279.16,0.0,0.0,0.0,1,-23.935931372446877
74,6515570,0,2,0.536,147.2313,0.4800361,-174.0529,0.07706816,-66.42692,1.39,-0.08247964,0.04909241,21.71,21.09443,0.6378392,"[0.1068, -0.4124, 0.0, 0.0]","[-0.2125, 0.158, 0.0, 0.0]","[-1.7629, 2.5035, 0.0, 0.0]","[7.553, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1305.41956,3079.87134,-21.6867218,21.2919407,0.536000013,1738.4,899.434,0.0,9929.91,0.0,0.0,0.0,1,-23.8107265743689
75,30851309,0,2,1.012,225.9436,0.3087804,-18.34916,0.07260902,-164.8256,3.07,0.2760741,0.3843869,19.81,21.05393,1.412478,"[0.9828, -0.1015, 0.0, 0.0]","[0.7249, -0.1803, 0.0, 0.0]","[2.405, -0.318, 0.0, 0.0]","[0.0, 129.939, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1656.45862,6705.5835,-23.1671619,21.9770203,1.01199996,1577.81,758.942,0.0,26136.3,0.0,0.0,0.0,1,-28.288220492267435
